17:52:41.695 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 17:52
17:52:41.696 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
17:52:41.696 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
17:52:41.696 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
17:52:41.697 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
17:52:41.698 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
17:52:41.698 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
17:52:41.698 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
17:52:41.698 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
17:52:41.698 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
17:53:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - DRONE BATTERY CHECK AT:::: 2023/12/04 17:53
17:53:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-00, capacity - 100 %
17:53:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo0089, capacity - 30 %
17:53:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-01, capacity - 27 %
17:53:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-02, capacity - 25 %
17:53:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-03, capacity - 100 %
17:53:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-04, capacity - 100 %
17:53:41.488 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-05, capacity - 100 %
17:53:41.489 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-06, capacity - 100 %
17:53:41.489 [scheduling-1] INFO  c.m.app.Services.DroneService - Battery Event for Drone with serial number - 7823Uhjdo00-07, capacity - 50 %
